lead_id,created_date,channel,campaign,company_segment,industry,employee_count,lead_score,first_response_hours,mql_date,sql_date,opportunity_date,customer_date,expected_arr,status
L00001,2025-11-17,Paid Social,Campaign 0,Enterprise,SaaS,150,35,36,,,,,0,Lead
L00002,2026-07-02,Paid Social,Campaign 0,Enterprise,SaaS,150,68,26,,,,,0,Lead
L00003,2025-12-04,Organic Search,Campaign 2,Mid-Market,SaaS,150,73,25,2025-12-11,,,,0,MQL
L00004,2025-12-16,Paid Search,Campaign 1,Enterprise,SaaS,150,44,22,,,,,0,Lead
L00005,2026-03-09,Paid Social,Campaign 0,SMB,SaaS,150,36,56,2026-03-12,,,,0,MQL
L00006,2026-01-13,Email Nurture,Campaign 5,SMB,SaaS,150,77,18,2026-01-20,,,,0,MQL
L00007,2026-05-24,Paid Social,Campaign 0,Mid-Market,SaaS,150,91,54,2026-06-03,,,,0,MQL
L00008,2025-04-25,Paid Social,Campaign 0,SMB,SaaS,150,73,27,,,,,0,Lead
L00009,2025-04-08,Paid Social,Campaign 0,Mid-Market,SaaS,150,20,55,2025-04-13,,,,0,MQL
L00010,2026-06-27,Email Nurture,Campaign 5,Enterprise,SaaS,150,98,22,2026-07-03,2026-07-15,,,0,SQL
L00011,2026-04-20,Paid Search,Campaign 1,Mid-Market,SaaS,150,49,16,,,,,0,Lead
L00012,2025-07-24,Paid Social,Campaign 0,Enterprise,SaaS,150,54,23,2025-07-25,,,,0,MQL
L00013,2025-11-24,Paid Social,Campaign 0,Mid-Market,SaaS,150,37,22,,,,,0,Lead
L00014,2025-01-01,Organic Search,Campaign 2,Enterprise,SaaS,150,92,10,2025-01-05,,,,0,MQL
L00015,2025-04-01,Paid Search,Campaign 1,Enterprise,SaaS,150,22,14,2025-04-11,,,,0,MQL
L00016,2026-06-08,Paid Search,Campaign 1,Mid-Market,SaaS,150,57,29,,,,,0,Lead
L00017,2025-06-03,Partner,Campaign 4,Mid-Market,SaaS,150,70,12,2025-06-05,,,,0,MQL
L00018,2026-04-27,Webinar,Campaign 3,Enterprise,SaaS,150,40,30,2026-05-05,,,,0,MQL
L00019,2026-05-06,Partner,Campaign 4,Enterprise,SaaS,150,68,18,2026-05-10,,,,0,MQL
L00020,2025-10-21,Paid Social,Campaign 0,Mid-Market,SaaS,150,66,32,,,,,0,Lead
L00021,2025-02-02,Webinar,Campaign 3,SMB,SaaS,150,45,27,2025-02-04,2025-02-13,2025-02-20,,12500,Opportunity
L00022,2025-06-02,Organic Search,Campaign 2,Enterprise,SaaS,150,76,14,2025-06-07,,,,0,MQL
L00023,2025-05-03,Partner,Campaign 4,Enterprise,SaaS,150,35,22,2025-05-13,2025-05-22,2025-06-16,,73000,Opportunity
L00024,2025-03-21,Paid Search,Campaign 1,Enterprise,SaaS,150,42,20,2025-03-26,2025-03-31,,,0,SQL
L00025,2025-05-22,Paid Search,Campaign 1,Enterprise,SaaS,150,46,30,2025-05-26,,,,0,MQL
L00026,2025-02-07,Organic Search,Campaign 2,SMB,SaaS,150,35,14,,,,,0,Lead
L00027,2025-11-11,Paid Social,Campaign 0,Mid-Market,SaaS,150,26,34,,,,,0,Lead
L00028,2025-07-04,Email Nurture,Campaign 5,SMB,SaaS,150,56,19,2025-07-14,,,,0,MQL
L00029,2025-05-20,Paid Search,Campaign 1,Mid-Market,SaaS,150,89,14,2025-05-25,2025-05-30,2025-06-23,,24800,Opportunity
L00030,2025-04-28,Webinar,Campaign 3,Enterprise,SaaS,150,34,33,2025-05-03,2025-05-17,,,0,SQL
L00031,2025-01-05,Paid Social,Campaign 0,SMB,SaaS,150,68,35,2025-01-07,,,,0,MQL
L00032,2025-10-26,Partner,Campaign 4,Enterprise,SaaS,150,46,22,2025-11-02,,,,0,MQL
L00033,2026-01-10,Organic Search,Campaign 2,Mid-Market,SaaS,150,91,17,,,,,0,Lead
L00034,2025-10-22,Webinar,Campaign 3,SMB,SaaS,150,50,17,,,,,0,Lead
L00035,2025-01-16,Partner,Campaign 4,SMB,SaaS,150,33,13,2025-01-22,2025-01-27,2025-02-17,2025-03-29,11200,Customer
L00036,2025-10-13,Organic Search,Campaign 2,Mid-Market,SaaS,150,48,27,2025-10-15,,,,0,MQL
L00037,2026-03-28,Organic Search,Campaign 2,SMB,SaaS,150,39,15,2026-04-07,,,,0,MQL
L00038,2026-06-11,Paid Social,Campaign 0,SMB,SaaS,150,74,40,,,,,0,Lead
L00039,2025-02-17,Paid Search,Campaign 1,SMB,SaaS,150,48,18,,,,,0,Lead
L00040,2025-12-06,Organic Search,Campaign 2,Enterprise,SaaS,150,27,25,,,,,0,Lead
L00041,2025-05-30,Paid Social,Campaign 0,SMB,SaaS,150,89,33,,,,,0,Lead
L00042,2026-06-18,Organic Search,Campaign 2,SMB,SaaS,150,21,16,,,,,0,Lead
L00043,2026-01-16,Paid Search,Campaign 1,SMB,SaaS,150,38,13,2026-01-25,,,,0,MQL
L00044,2025-07-12,Partner,Campaign 4,Enterprise,SaaS,150,24,10,2025-07-21,,,,0,MQL
L00045,2025-03-26,Paid Social,Campaign 0,SMB,SaaS,150,28,60,,,,,0,Lead
L00046,2026-03-22,Paid Search,Campaign 1,Enterprise,SaaS,150,27,24,2026-03-29,2026-04-04,2026-04-12,,54000,Opportunity
L00047,2026-05-12,Organic Search,Campaign 2,SMB,SaaS,150,40,11,2026-05-21,2026-05-25,,,0,SQL
L00048,2025-11-17,Paid Social,Campaign 0,SMB,SaaS,150,61,21,,,,,0,Lead
L00049,2025-06-16,Organic Search,Campaign 2,SMB,SaaS,150,53,16,2025-06-26,,,,0,MQL
L00050,2025-02-28,Paid Search,Campaign 1,Enterprise,SaaS,150,95,22,,,,,0,Lead
L00051,2025-05-16,Paid Search,Campaign 1,Enterprise,SaaS,150,36,27,,,,,0,Lead
L00052,2026-01-31,Paid Social,Campaign 0,Enterprise,SaaS,150,92,56,,,,,0,Lead
L00053,2025-06-08,Paid Social,Campaign 0,SMB,SaaS,150,74,39,,,,,0,Lead
L00054,2025-08-09,Organic Search,Campaign 2,Mid-Market,SaaS,150,53,11,,,,,0,Lead
L00055,2025-09-12,Paid Social,Campaign 0,Mid-Market,SaaS,150,36,59,2025-09-19,,,,0,MQL
L00056,2026-02-19,Paid Social,Campaign 0,Mid-Market,SaaS,150,41,50,2026-02-23,,,,0,MQL
L00057,2025-10-06,Paid Social,Campaign 0,SMB,SaaS,150,85,38,,,,,0,Lead
L00058,2025-05-26,Paid Social,Campaign 0,Enterprise,SaaS,150,28,52,,,,,0,Lead
L00059,2026-03-10,Organic Search,Campaign 2,SMB,SaaS,150,45,10,2026-03-16,,,,0,MQL
L00060,2025-02-10,Organic Search,Campaign 2,Mid-Market,SaaS,150,58,16,,,,,0,Lead
L00061,2026-03-01,Paid Search,Campaign 1,Enterprise,SaaS,150,42,30,2026-03-08,,,,0,MQL
L00062,2025-09-13,Paid Search,Campaign 1,Mid-Market,SaaS,150,71,23,2025-09-19,,,,0,MQL
L00063,2025-06-14,Paid Social,Campaign 0,SMB,SaaS,150,34,27,2025-06-20,,,,0,MQL
L00064,2026-02-12,Webinar,Campaign 3,Mid-Market,SaaS,150,81,36,,,,,0,Lead
L00065,2025-02-09,Paid Search,Campaign 1,Enterprise,SaaS,150,96,25,2025-02-10,,,,0,MQL
L00066,2025-02-21,Paid Search,Campaign 1,Mid-Market,SaaS,150,66,18,,,,,0,Lead
L00067,2026-06-30,Paid Social,Campaign 0,SMB,SaaS,150,26,35,,,,,0,Lead
L00068,2025-06-23,Paid Search,Campaign 1,Mid-Market,SaaS,150,77,16,2025-06-30,2025-07-01,2025-07-09,,27900,Opportunity
L00069,2025-01-24,Partner,Campaign 4,Enterprise,SaaS,150,85,8,2025-01-29,2025-02-11,2025-03-03,2025-04-13,12700,Customer
L00070,2026-06-22,Paid Social,Campaign 0,SMB,SaaS,150,59,39,2026-06-26,,,,0,MQL
L00071,2025-03-22,Organic Search,Campaign 2,SMB,SaaS,150,21,17,,,,,0,Lead
L00072,2025-12-27,Paid Social,Campaign 0,Enterprise,SaaS,150,36,56,2025-12-31,,,,0,MQL
L00073,2026-05-28,Partner,Campaign 4,Enterprise,SaaS,150,53,16,,,,,0,Lead
L00074,2026-03-16,Email Nurture,Campaign 5,Mid-Market,SaaS,150,70,37,2026-03-20,2026-04-04,2026-04-27,,57800,Opportunity
L00075,2025-08-18,Paid Search,Campaign 1,Mid-Market,SaaS,150,43,22,,,,,0,Lead
